"Kod";"Nazwa";"1 kwartał;ogółem;ogółem;2009;[osoba]";"1 kwartał;ogółem;ogółem;2010;[osoba]";"1 kwartał;ogółem;ogółem;2011;[osoba]";"1 kwartał;ogółem;ogółem;2012;[osoba]";"1 kwartał;ogółem;ogółem;2013;[osoba]";"1 kwartał;ogółem;ogółem;2014;[osoba]";"2 kwartał;ogółem;ogółem;2009;[osoba]";"2 kwartał;ogółem;ogółem;2010;[osoba]";"2 kwartał;ogółem;ogółem;2011;[osoba]";"2 kwartał;ogółem;ogółem;2012;[osoba]";"2 kwartał;ogółem;ogółem;2013;[osoba]";"2 kwartał;ogółem;ogółem;2014;[osoba]";"pierwsze półrocze;ogółem;ogółem;2009;[osoba]";"pierwsze półrocze;ogółem;ogółem;2010;[osoba]";"pierwsze półrocze;ogółem;ogółem;2011;[osoba]";"pierwsze półrocze;ogółem;ogółem;2012;[osoba]";"pierwsze półrocze;ogółem;ogółem;2013;[osoba]";"pierwsze półrocze;ogółem;ogółem;2014;[osoba]";"3 kwartał;ogółem;ogółem;2009;[osoba]";"3 kwartał;ogółem;ogółem;2010;[osoba]";"3 kwartał;ogółem;ogółem;2011;[osoba]";"3 kwartał;ogółem;ogółem;2012;[osoba]";"3 kwartał;ogółem;ogółem;2013;[osoba]";"3 kwartał;ogółem;ogółem;2014;[osoba]";"1-3 kwartały;ogółem;ogółem;2009;[osoba]";"1-3 kwartały;ogółem;ogółem;2010;[osoba]";"1-3 kwartały;ogółem;ogółem;2011;[osoba]";"1-3 kwartały;ogółem;ogółem;2012;[osoba]";"1-3 kwartały;ogółem;ogółem;2013;[osoba]";"1-3 kwartały;ogółem;ogółem;2014;[osoba]";"4 kwartał;ogółem;ogółem;2009;[osoba]";"4 kwartał;ogółem;ogółem;2010;[osoba]";"4 kwartał;ogółem;ogółem;2011;[osoba]";"4 kwartał;ogółem;ogółem;2012;[osoba]";"4 kwartał;ogółem;ogółem;2013;[osoba]";"4 kwartał;ogółem;ogółem;2014;[osoba]";"rok;ogółem;ogółem;2009;[osoba]";"rok;ogółem;ogółem;2010;[osoba]";"rok;ogółem;ogółem;2011;[osoba]";"rok;ogółem;ogółem;2012;[osoba]";"rok;ogółem;ogółem;2013;[osoba]";"rok;ogółem;ogółem;2014;[osoba]";
0000000;"POLSKA";38139474;38504903;38511824;38532019;38512499;38485779;38153389;38516689;38525670;38533789;38502396;38483957;38153389;38516689;38525670;38533789;38502396;38483957;38177967;38531115;38542918;38544513;38507281;38492165;38177967;38531115;38542918;38544513;38507281;38492165;38167329;38529866;38538447;38533299;38495659;38478602;38167329;38529866;38538447;38533299;38495659;38478602;
0200000;"DOLNOŚLĄSKIE";2876604;2915942;2915238;2915739;2912203;2909031;2876641;2916523;2915805;2915245;2911045;2908457;2876641;2916523;2915805;2915245;2911045;2908457;2878183;2917672;2917098;2915516;2911062;2908882;2878183;2917672;2917098;2915516;2911062;2908882;2876627;2917242;2916577;2914362;2909997;2908457;2876627;2917242;2916577;2914362;2909997;2908457;
0400000;"KUJAWSKO-POMORSKIE";2068196;2098371;2097634;2097999;2094903;2091660;2068809;2098743;2098120;2097818;2094090;2090836;2068809;2098743;2098120;2097818;2094090;2090836;2069742;2099222;2098727;2097747;2094110;2090702;2069742;2099222;2098727;2097747;2094110;2090702;2069083;2098711;2098370;2096404;2092564;2089992;2069083;2098711;2098370;2096404;2092564;2089992;
0600000;"LUBELSKIE";2160447;2182703;2175700;2169952;2162777;2153770;2159800;2181608;2174791;2168616;2160513;2151836;2159800;2181608;2174791;2168616;2160513;2151836;2159362;2180497;2173924;2167225;2159143;2150496;2159362;2180497;2173924;2167225;2159143;2150496;2157202;2178611;2171857;2165651;2156150;2147746;2157202;2178611;2171857;2165651;2156150;2147746;
0800000;"LUBUSKIE";1009218;1022656;1022843;1023051;1022727;1021065;1009621;1022896;1023088;1023102;1022253;1020767;1009621;1022896;1023088;1023102;1022253;1020767;1010383;1023157;1023354;1023550;1022246;1020702;1010383;1023157;1023354;1023550;1022246;1020702;1010047;1023215;1023158;1023317;1021470;1020307;1010047;1023215;1023158;1023317;1021470;1020307;
1000000;"ŁÓDZKIE";2546614;2548065;2538677;2530765;2520701;2510578;2545493;2546530;2537564;2528632;2517787;2508464;2545493;2546530;2537564;2528632;2517787;2508464;2544883;2545012;2536270;2527137;2515939;2507110;2544883;2545012;2536270;2527137;2515939;2507110;2541832;2542436;2533681;2524651;2513093;2504136;2541832;2542436;2533681;2524651;2513093;2504136;
1200000;"MAŁOPOLSKIE";3289305;3327479;3337471;3347964;3355049;3361896;3292805;3330942;3340876;3350350;3356805;3364176;3292805;3330942;3340876;3350350;3356805;3364176;3297630;3334622;3345250;3353792;3359715;3367326;3297630;3334622;3345250;3353792;3359715;3367326;3298270;3336699;3346796;3354077;3360581;3368336;3298270;3336699;3346796;3354077;3360581;3368336;
1400000;"MAZOWIECKIE";5208515;5250939;5268660;5288796;5303937;5320200;5213855;5256593;5274255;5293224;5307276;5324519;5213855;5256593;5274255;5293224;5307276;5324519;5221180;5263403;5281897;5299556;5313142;5330745;5221180;5263403;5281897;5299556;5313142;5330745;5222167;5267072;5285604;5301760;5316840;5334511;5222167;5267072;5285604;5301760;5316840;5334511;
1600000;"OPOLSKIE";1032397;1019076;1016213;1013012;1008425;1003402;1031922;1018550;1015583;1012296;1006999;1002575;1031922;1018550;1015583;1012296;1006999;1002575;1031706;1018020;1014771;1011612;1005945;1001923;1031706;1018020;1014771;1011612;1005945;1001923;1031097;1017241;1013950;1010203;1004416;1000858;1031097;1017241;1013950;1010203;1004416;1000858;
1800000;"PODKARPACKIE";2099592;2126744;2127285;2128626;2129158;2128521;2100389;2127185;2127845;2128921;2128707;2128483;2100389;2127185;2127845;2128921;2128707;2128483;2101859;2128042;2128778;2130001;2129182;2129130;2101859;2128042;2128778;2130001;2129182;2129130;2101732;2127948;2128687;2129951;2129294;2129187;2101732;2127948;2128687;2129951;2129294;2129187;
