"Kod";"Nazwa";"1 kwartał;saldo migracji wewnętrznych;2010;[osoba]";"1 kwartał;saldo migracji wewnętrznych;2011;[osoba]";"1 kwartał;saldo migracji wewnętrznych;2012;[osoba]";"1 kwartał;saldo migracji wewnętrznych;2013;[osoba]";"1 kwartał;saldo migracji wewnętrznych;2014;[osoba]";"1 kwartał;saldo migracji zagranicznych;2010;[osoba]";"1 kwartał;saldo migracji zagranicznych;2011;[osoba]";"1 kwartał;saldo migracji zagranicznych;2012;[osoba]";"1 kwartał;saldo migracji zagranicznych;2013;[osoba]";"1 kwartał;saldo migracji zagranicznych;2014;[osoba]";"2 kwartał;saldo migracji wewnętrznych;2010;[osoba]";"2 kwartał;saldo migracji wewnętrznych;2011;[osoba]";"2 kwartał;saldo migracji wewnętrznych;2012;[osoba]";"2 kwartał;saldo migracji wewnętrznych;2013;[osoba]";"2 kwartał;saldo migracji wewnętrznych;2014;[osoba]";"2 kwartał;saldo migracji zagranicznych;2010;[osoba]";"2 kwartał;saldo migracji zagranicznych;2011;[osoba]";"2 kwartał;saldo migracji zagranicznych;2012;[osoba]";"2 kwartał;saldo migracji zagranicznych;2013;[osoba]";"2 kwartał;saldo migracji zagranicznych;2014;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2010;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2011;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2012;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2013;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2014;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2010;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2011;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2012;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2013;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2014;[osoba]";"3 kwartał;saldo migracji wewnętrznych;2010;[osoba]";"3 kwartał;saldo migracji wewnętrznych;2011;[osoba]";"3 kwartał;saldo migracji wewnętrznych;2012;[osoba]";"3 kwartał;saldo migracji wewnętrznych;2013;[osoba]";"3 kwartał;saldo migracji wewnętrznych;2014;[osoba]";"3 kwartał;saldo migracji zagranicznych;2010;[osoba]";"3 kwartał;saldo migracji zagranicznych;2011;[osoba]";"3 kwartał;saldo migracji zagranicznych;2012;[osoba]";"3 kwartał;saldo migracji zagranicznych;2013;[osoba]";"3 kwartał;saldo migracji zagranicznych;2014;[osoba]";"1-3 kwartały;saldo migracji wewnętrznych;2010;[osoba]";"1-3 kwartały;saldo migracji wewnętrznych;2011;[osoba]";"1-3 kwartały;saldo migracji wewnętrznych;2012;[osoba]";"1-3 kwartały;saldo migracji wewnętrznych;2013;[osoba]";"1-3 kwartały;saldo migracji wewnętrznych;2014;[osoba]";"1-3 kwartały;saldo migracji zagranicznych;2010;[osoba]";"1-3 kwartały;saldo migracji zagranicznych;2011;[osoba]";"1-3 kwartały;saldo migracji zagranicznych;2012;[osoba]";"1-3 kwartały;saldo migracji zagranicznych;2013;[osoba]";"1-3 kwartały;saldo migracji zagranicznych;2014;[osoba]";"4 kwartał;saldo migracji wewnętrznych;2010;[osoba]";"4 kwartał;saldo migracji wewnętrznych;2011;[osoba]";"4 kwartał;saldo migracji wewnętrznych;2012;[osoba]";"4 kwartał;saldo migracji wewnętrznych;2013;[osoba]";"4 kwartał;saldo migracji wewnętrznych;2014;[osoba]";"4 kwartał;saldo migracji zagranicznych;2010;[osoba]";"4 kwartał;saldo migracji zagranicznych;2011;[osoba]";"4 kwartał;saldo migracji zagranicznych;2012;[osoba]";"4 kwartał;saldo migracji zagranicznych;2013;[osoba]";"4 kwartał;saldo migracji zagranicznych;2014;[osoba]";"rok;saldo migracji wewnętrznych;2010;[osoba]";"rok;saldo migracji wewnętrznych;2011;[osoba]";"rok;saldo migracji wewnętrznych;2012;[osoba]";"rok;saldo migracji wewnętrznych;2013;[osoba]";"rok;saldo migracji wewnętrznych;2014;[osoba]";"rok;saldo migracji zagranicznych;2010;[osoba]";"rok;saldo migracji zagranicznych;2011;[osoba]";"rok;saldo migracji zagranicznych;2012;[osoba]";"rok;saldo migracji zagranicznych;2013;[osoba]";"rok;saldo migracji zagranicznych;2014;[osoba]";
0000000;"POLSKA";0;0;0;0;0;-658;-667;-1446;-4420;-3198;0;0;0;0;0;-261;-1178;-1273;-6202;-3503;0;0;0;0;0;-919;-1845;-2719;-10622;-6701;0;0;0;0;0;-283;-1130;-1333;-5567;-4256;0;0;0;0;0;-1202;-2975;-4052;-16189;-10957;0;0;0;0;0;-912;-1359;-2565;-3715;-4793;0;0;0;0;0;-2114;-4334;-6617;-19904;-15750;
0200000;"DOLNOŚLĄSKIE";294;303;387;532;433;-61;-40;-153;-539;-411;433;272;381;591;779;-19;-85;-171;-589;-452;727;575;768;1123;1212;-80;-125;-324;-1128;-863;448;551;413;677;706;-62;-152;-200;-657;-579;1175;1126;1181;1800;1918;-142;-277;-524;-1785;-1442;404;433;554;591;508;-52;-211;-271;-579;-428;1579;1559;1735;2391;2426;-194;-488;-795;-2364;-1870;
0400000;"KUJAWSKO-POMORSKIE";-328;-349;-337;-445;-437;-54;-54;-78;-218;-232;-398;-337;-297;-435;-448;-60;-50;-115;-266;-296;-726;-686;-634;-880;-885;-114;-104;-193;-484;-528;-324;-330;-535;-298;-443;-76;-136;-112;-299;-343;-1050;-1016;-1169;-1178;-1328;-190;-240;-305;-783;-871;-393;-305;-359;-441;-410;-50;-88;-173;-243;-229;-1443;-1321;-1528;-1619;-1738;-240;-328;-478;-1026;-1100;
0600000;"LUBELSKIE";-1154;-1099;-1339;-1342;-1367;-4;-37;-5;-162;-109;-1164;-1096;-1267;-1192;-1201;-4;-37;-31;-220;-126;-2318;-2195;-2606;-2534;-2568;-8;-74;-36;-382;-235;-1492;-1511;-1455;-1332;-1415;28;-64;-55;-172;-211;-3810;-3706;-4061;-3866;-3983;20;-138;-91;-554;-446;-1057;-1254;-957;-1088;-1142;-58;-38;-63;-119;-189;-4867;-4960;-5018;-4954;-5125;-38;-176;-154;-673;-635;
0800000;"LUBUSKIE";4;-73;-72;-123;-138;-19;-36;-55;-114;-173;-202;-202;-127;-153;-209;12;-17;-38;-228;-129;-198;-275;-199;-276;-347;-7;-53;-93;-342;-302;-173;-283;-54;-218;-173;-11;-31;-29;-121;-196;-371;-558;-253;-494;-520;-18;-84;-122;-463;-498;-103;-107;-188;-249;-140;18;-81;-59;-172;-165;-474;-665;-441;-743;-660;0;-165;-181;-635;-663;
1000000;"ŁÓDZKIE";-379;-456;-398;-539;-404;1;-9;-22;-140;-54;-387;-400;-303;-501;-479;1;-9;-43;-165;-96;-766;-856;-701;-1040;-883;2;-18;-65;-305;-150;-457;-539;-470;-553;-407;-8;-57;-48;-209;-103;-1223;-1395;-1171;-1593;-1290;-6;-75;-113;-514;-253;-534;-449;-472;-511;-411;-17;28;-72;-60;-91;-1757;-1844;-1643;-2104;-1701;-23;-47;-185;-574;-344;
1200000;"MAŁOPOLSKIE";853;829;741;1023;856;100;81;-45;-222;-145;895;856;748;905;927;281;107;139;-316;-167;1748;1685;1489;1928;1783;381;188;94;-538;-312;1052;1251;1095;1133;1000;329;294;194;-251;-168;2800;2936;2584;3061;2783;710;482;288;-789;-480;873;847;770;714;789;25;35;-65;-162;-145;3673;3783;3354;3775;3572;735;517;223;-951;-625;
1400000;"MAZOWIECKIE";2877;3344;3302;3561;3528;144;149;147;16;-1;3129;3002;3031;3101;3094;215;185;166;-24;26;6006;6346;6333;6662;6622;359;334;313;-8;25;3819;4081;3621;3633;3480;206;197;162;-61;-37;9825;10427;9954;10295;10102;565;531;475;-69;-12;2862;3273;2848;3162;3039;125;123;10;-35;-21;12687;13700;12802;13457;13141;690;654;485;-104;-33;
1600000;"OPOLSKIE";-171;-146;-147;-170;-207;-165;-252;-344;-591;-324;-125;-130;-90;-292;-175;-233;-462;-404;-737;-414;-296;-276;-237;-462;-382;-398;-714;-748;-1328;-738;-151;-238;-97;-209;-209;-440;-553;-564;-732;-468;-447;-514;-334;-671;-591;-838;-1267;-1312;-2060;-1206;-224;-150;-103;-221;-100;-284;-327;-424;-379;-363;-671;-664;-437;-892;-691;-1122;-1594;-1736;-2439;-1569;
1800000;"PODKARPACKIE";-467;-546;-379;-569;-453;2;-1;-3;-191;-113;-576;-581;-474;-545;-598;-23;-28;19;-312;-36;-1043;-1127;-853;-1114;-1051;-21;-29;16;-503;-149;-539;-615;-571;-624;-488;67;73;99;-155;-59;-1582;-1742;-1424;-1738;-1539;46;44;115;-658;-208;-391;-470;-523;-535;-402;-2;-9;-115;-171;-100;-1973;-2212;-1947;-2273;-1941;44;35;0;-829;-308;
