Województwo,Kwartał,Rok,Ludność,Ludność_100tys
PODLASKIE,1,2016,1188170,11.8817
PODLASKIE,2,2016,1187587,11.87587
PODLASKIE,3,2016,1187403,11.87403
PODLASKIE,4,2016,1186625,11.86625
PODLASKIE,1,2017,1186090,11.8609
PODLASKIE,2,2017,1185174,11.85174
PODLASKIE,3,2017,1185325,11.85325
PODLASKIE,4,2017,1184548,11.84548
PODLASKIE,1,2018,1183071,11.83071
PODLASKIE,2,2018,1182677,11.82677
PODLASKIE,3,2018,1182308,11.82308
PODLASKIE,4,2018,1181533,11.81533
PODLASKIE,1,2019,1179887,11.79887
PODLASKIE,2,2019,1179430,11.7943
PODLASKIE,3,2019,1179126,11.79126
PODLASKIE,4,2019,1178353,11.78353
PODLASKIE,1,2020,1158097,11.58097
PODLASKIE,2,2020,1159881,11.59881
PODLASKIE,3,2020,1157349,11.57349
PODLASKIE,4,2020,1156591,11.56591
PODLASKIE,1,2021,1150215,11.50215
PODLASKIE,2,2021,1152892,11.52892
PODLASKIE,3,2021,1149473,11.49473
PODLASKIE,4,2021,1148720,11.4872
PODLASKIE,1,2022,1144843,11.44843
PODLASKIE,2,2022,1145841,11.45841
PODLASKIE,3,2022,1144105,11.44105
PODLASKIE,4,2022,1143355,11.43355
PODLASKIE,1,2023,1139698,11.39698
PODLASKIE,2,2023,1140681,11.40681
PODLASKIE,3,2023,1138962,11.38962
PODLASKIE,4,2023,1138216,11.38216
PODLASKIE,1,2024,1134115,11.34115
PODLASKIE,2,2024,1135201,11.35201
PODLASKIE,3,2024,1133384,11.33384
PODLASKIE,4,2024,1132641,11.32641
PODKARPACKIE,1,2016,2126508,21.26508
PODKARPACKIE,2,2016,2126824,21.26824
PODKARPACKIE,3,2016,2127688,21.27688
PODKARPACKIE,4,2016,2127656,21.27656
PODKARPACKIE,1,2017,2127989,21.27989
PODKARPACKIE,2,2017,2127687,21.27687
PODKARPACKIE,3,2017,2129170,21.2917
PODKARPACKIE,4,2017,2129138,21.29138
PODKARPACKIE,1,2018,2127867,21.27867
PODKARPACKIE,2,2018,2128747,21.28747
PODKARPACKIE,3,2018,2129047,21.29047
PODKARPACKIE,4,2018,2129015,21.29015
PODKARPACKIE,1,2019,2126017,21.26017
PODKARPACKIE,2,2019,2127462,21.27462
PODKARPACKIE,3,2019,2127196,21.27196
PODKARPACKIE,4,2019,2127164,21.27164
PODKARPACKIE,1,2020,2095035,20.95035
PODKARPACKIE,2,2020,2100838,21.00838
PODKARPACKIE,3,2020,2096197,20.96197
PODKARPACKIE,4,2020,2096166,20.96166
PODKARPACKIE,1,2021,2084807,20.84807
PODKARPACKIE,2,2021,2090816,20.90816
PODKARPACKIE,3,2021,2085963,20.85963
PODKARPACKIE,4,2021,2085932,20.85932
PODKARPACKIE,1,2022,2077976,20.77976
PODKARPACKIE,2,2022,2081585,20.81585
PODKARPACKIE,3,2022,2079129,20.79129
PODKARPACKIE,4,2022,2079098,20.79098
PODKARPACKIE,1,2023,2070558,20.70558
PODKARPACKIE,2,2023,2075827,20.75827
PODKARPACKIE,3,2023,2071707,20.71707
PODKARPACKIE,4,2023,2071676,20.71676
PODKARPACKIE,1,2024,2061884,20.61884
PODKARPACKIE,2,2024,2067139,20.67139
PODKARPACKIE,3,2024,2063028,20.63028
PODKARPACKIE,4,2024,2062997,20.62997
OPOLSKIE,1,2016,995447,9.95447
OPOLSKIE,2,2016,994489,9.94489
OPOLSKIE,3,2016,994050,9.9405
OPOLSKIE,4,2016,993036,9.93036
OPOLSKIE,1,2017,992473,9.92473
OPOLSKIE,2,2017,991161,9.91161
OPOLSKIE,3,2017,991080,9.9108
OPOLSKIE,4,2017,990069,9.90069
OPOLSKIE,1,2018,988901,9.88901
OPOLSKIE,2,2018,988014,9.88014
OPOLSKIE,3,2018,987514,9.87514
OPOLSKIE,4,2018,986506,9.86506
OPOLSKIE,1,2019,985012,9.85012
OPOLSKIE,2,2019,984345,9.84345
OPOLSKIE,3,2019,983630,9.8363
OPOLSKIE,4,2019,982626,9.82626
OPOLSKIE,1,2020,958165,9.58165
OPOLSKIE,2,2020,959841,9.59841
OPOLSKIE,3,2020,956820,9.5682
OPOLSKIE,4,2020,955844,9.55844
OPOLSKIE,1,2021,950886,9.50886
OPOLSKIE,2,2021,952471,9.52471
OPOLSKIE,3,2021,949552,9.49552
OPOLSKIE,4,2021,948583,9.48583
OPOLSKIE,1,2022,944729,9.44729
OPOLSKIE,2,2022,945179,9.45179
OPOLSKIE,3,2022,943404,9.43404
OPOLSKIE,4,2022,942441,9.42441
OPOLSKIE,1,2023,938999,9.38999
OPOLSKIE,2,2023,939470,9.3947
OPOLSKIE,3,2023,937682,9.37682
OPOLSKIE,4,2023,936725,9.36725
OPOLSKIE,1,2024,932555,9.32555
OPOLSKIE,2,2024,933349,9.33349
OPOLSKIE,3,2024,931246,9.31246
OPOLSKIE,4,2024,930296,9.30296
MAZOWIECKIE,1,2016,5351200,53.512
MAZOWIECKIE,2,2016,5356838,53.56838
MAZOWIECKIE,3,2016,5362848,53.62848
MAZOWIECKIE,4,2016,5365898,53.65898
MAZOWIECKIE,1,2017,5369867,53.69867
MAZOWIECKIE,2,2017,5372579,53.72579
MAZOWIECKIE,3,2017,5381556,53.81556
MAZOWIECKIE,4,2017,5384617,53.84617
MAZOWIECKIE,1,2018,5388611,53.88611
MAZOWIECKIE,2,2018,5391813,53.91813
