Województwo,Rok,Kwartał,saldo migracji wewnętrznych
POLSKA,2016,1,0.0
POLSKA,2016,2,0.0
POLSKA,2016,3,0.0
POLSKA,2016,4,0.0
POLSKA,2017,1,0.0
POLSKA,2017,2,0.0
POLSKA,2017,3,0.0
POLSKA,2017,4,0.0
POLSKA,2018,1,0.0
POLSKA,2018,2,0.0
POLSKA,2018,3,0.0
POLSKA,2018,4,0.0
POLSKA,2019,1,0.0
POLSKA,2019,2,0.0
POLSKA,2019,3,0.0
POLSKA,2019,4,0.0
POLSKA,2020,1,0.0
POLSKA,2020,2,0.0
POLSKA,2020,3,0.0
POLSKA,2020,4,0.0
POLSKA,2021,1,0.0
POLSKA,2021,2,0.0
POLSKA,2021,3,0.0
POLSKA,2021,4,0.0
POLSKA,2022,1,0.0
POLSKA,2022,2,0.0
POLSKA,2022,3,0.0
POLSKA,2022,4,0.0
POLSKA,2023,1,0.0
POLSKA,2023,2,0.0
POLSKA,2023,3,0.0
POLSKA,2023,4,0.0
POLSKA,2024,1,0.0
POLSKA,2024,2,0.0
POLSKA,2024,3,0.0
POLSKA,2024,4,0.0
DOLNOŚLĄSKIE,2016,1,541.0
DOLNOŚLĄSKIE,2016,2,679.0
DOLNOŚLĄSKIE,2016,3,766.0
DOLNOŚLĄSKIE,2016,4,672.0
DOLNOŚLĄSKIE,2017,1,516.0
DOLNOŚLĄSKIE,2017,2,646.0
DOLNOŚLĄSKIE,2017,3,745.0
DOLNOŚLĄSKIE,2017,4,686.0
DOLNOŚLĄSKIE,2018,1,564.0
DOLNOŚLĄSKIE,2018,2,761.0
DOLNOŚLĄSKIE,2018,3,943.0
DOLNOŚLĄSKIE,2018,4,930.0
DOLNOŚLĄSKIE,2019,1,814.0
DOLNOŚLĄSKIE,2019,2,1090.0
DOLNOŚLĄSKIE,2019,3,1250.0
DOLNOŚLĄSKIE,2019,4,1059.0
DOLNOŚLĄSKIE,2020,1,742.0
DOLNOŚLĄSKIE,2020,2,850.0
DOLNOŚLĄSKIE,2020,3,908.0
DOLNOŚLĄSKIE,2020,4,793.0
DOLNOŚLĄSKIE,2021,1,634.0
DOLNOŚLĄSKIE,2021,2,820.0
DOLNOŚLĄSKIE,2021,3,962.0
DOLNOŚLĄSKIE,2021,4,887.0
DOLNOŚLĄSKIE,2022,1,722.0
DOLNOŚLĄSKIE,2022,2,935.0
DOLNOŚLĄSKIE,2022,3,1078.0
DOLNOŚLĄSKIE,2022,4,958.0
DOLNOŚLĄSKIE,2023,1,739.0
DOLNOŚLĄSKIE,2023,2,919.0
DOLNOŚLĄSKIE,2023,3,1037.0
DOLNOŚLĄSKIE,2023,4,920.0
DOLNOŚLĄSKIE,2024,1,720.0
DOLNOŚLĄSKIE,2024,2,907.0
DOLNOŚLĄSKIE,2024,3,1032.0
DOLNOŚLĄSKIE,2024,4,919.0
KUJAWSKO-POMORSKIE,2016,1,-450.0
KUJAWSKO-POMORSKIE,2016,2,-445.0
KUJAWSKO-POMORSKIE,2016,3,-428.0
KUJAWSKO-POMORSKIE,2016,4,-393.0
KUJAWSKO-POMORSKIE,2017,1,-351.0
KUJAWSKO-POMORSKIE,2017,2,-348.0
KUJAWSKO-POMORSKIE,2017,3,-378.0
KUJAWSKO-POMORSKIE,2017,4,-435.0
KUJAWSKO-POMORSKIE,2018,1,-526.0
KUJAWSKO-POMORSKIE,2018,2,-611.0
KUJAWSKO-POMORSKIE,2018,3,-681.0
KUJAWSKO-POMORSKIE,2018,4,-722.0
KUJAWSKO-POMORSKIE,2019,1,-750.0
KUJAWSKO-POMORSKIE,2019,2,-761.0
KUJAWSKO-POMORSKIE,2019,3,-738.0
KUJAWSKO-POMORSKIE,2019,4,-670.0
KUJAWSKO-POMORSKIE,2020,1,-576.0
KUJAWSKO-POMORSKIE,2020,2,-524.0
KUJAWSKO-POMORSKIE,2020,3,-503.0
KUJAWSKO-POMORSKIE,2020,4,-508.0
KUJAWSKO-POMORSKIE,2021,1,-547.0
KUJAWSKO-POMORSKIE,2021,2,-570.0
KUJAWSKO-POMORSKIE,2021,3,-564.0
KUJAWSKO-POMORSKIE,2021,4,-521.0
KUJAWSKO-POMORSKIE,2022,1,-455.0
KUJAWSKO-POMORSKIE,2022,2,-425.0
KUJAWSKO-POMORSKIE,2022,3,-423.0
KUJAWSKO-POMORSKIE,2022,4,-442.0
KUJAWSKO-POMORSKIE,2023,1,-492.0
KUJAWSKO-POMORSKIE,2023,2,-531.0
KUJAWSKO-POMORSKIE,2023,3,-551.0
KUJAWSKO-POMORSKIE,2023,4,-540.0
KUJAWSKO-POMORSKIE,2024,1,-513.0
KUJAWSKO-POMORSKIE,2024,2,-500.0
KUJAWSKO-POMORSKIE,2024,3,-492.0
KUJAWSKO-POMORSKIE,2024,4,-481.0
LUBELSKIE,2016,1,-1095.0
LUBELSKIE,2016,2,-1040.0
LUBELSKIE,2016,3,-1294.0
LUBELSKIE,2016,4,-1021.0
LUBELSKIE,2017,1,-1219.0
LUBELSKIE,2017,2,-1187.0
LUBELSKIE,2017,3,-1493.0
LUBELSKIE,2017,4,-1171.0
LUBELSKIE,2018,1,-1376.0
LUBELSKIE,2018,2,-1340.0
LUBELSKIE,2018,3,-1708.0
LUBELSKIE,2018,4,-1378.0
LUBELSKIE,2019,1,-1680.0
LUBELSKIE,2019,2,-1600.0
LUBELSKIE,2019,3,-1891.0
LUBELSKIE,2019,4,-1322.0
LUBELSKIE,2020,1,-1309.0
LUBELSKIE,2020,2,-1106.0
LUBELSKIE,2020,3,-1275.0
LUBELSKIE,2020,4,-992.0
LUBELSKIE,2021,1,-1224.0
LUBELSKIE,2021,2,-1199.0
LUBELSKIE,2021,3,-1482.0
LUBELSKIE,2021,4,-1113.0
LUBELSKIE,2022,1,-1226.0
LUBELSKIE,2022,2,-1117.0
LUBELSKIE,2022,3,-1332.0
LUBELSKIE,2022,4,-1009.0
LUBELSKIE,2023,1,-1160.0
LUBELSKIE,2023,2,-1102.0
LUBELSKIE,2023,3,-1368.0
LUBELSKIE,2023,4,-1074.0
LUBELSKIE,2024,1,-1275.0
LUBELSKIE,2024,2,-1228.0
LUBELSKIE,2024,3,-1520.0
LUBELSKIE,2024,4,-1168.0
LUBUSKIE,2016,1,-99.0
LUBUSKIE,2016,2,-220.0
LUBUSKIE,2016,3,-223.0
LUBUSKIE,2016,4,-197.0
LUBUSKIE,2017,1,-101.0
LUBUSKIE,2017,2,-230.0
LUBUSKIE,2017,3,-238.0
LUBUSKIE,2017,4,-216.0
LUBUSKIE,2018,1,-115.0
LUBUSKIE,2018,2,-271.0
LUBUSKIE,2018,3,-297.0
LUBUSKIE,2018,4,-286.0
LUBUSKIE,2019,1,-162.0
LUBUSKIE,2019,2,-386.0
LUBUSKIE,2019,3,-386.0
LUBUSKIE,2019,4,-309.0
LUBUSKIE,2020,1,-132.0
LUBUSKIE,2020,2,-250.0
LUBUSKIE,2020,3,-238.0
LUBUSKIE,2020,4,-220.0
LUBUSKIE,2021,1,-130.0
LUBUSKIE,2021,2,-320.0
LUBUSKIE,2021,3,-333.0
LUBUSKIE,2021,4,-283.0
LUBUSKIE,2022,1,-132.0
LUBUSKIE,2022,2,-270.0
LUBUSKIE,2022,3,-252.0
LUBUSKIE,2022,4,-206.0
LUBUSKIE,2023,1,-99.0
LUBUSKIE,2023,2,-215.0
LUBUSKIE,2023,3,-224.0
LUBUSKIE,2023,4,-213.0
LUBUSKIE,2024,1,-123.0
LUBUSKIE,2024,2,-300.0
LUBUSKIE,2024,3,-321.0
LUBUSKIE,2024,4,-288.0
ŁÓDZKIE,2016,1,-391.0
ŁÓDZKIE,2016,2,-378.0
ŁÓDZKIE,2016,3,-456.0
ŁÓDZKIE,2016,4,-467.0
ŁÓDZKIE,2017,1,-453.0
ŁÓDZKIE,2017,2,-447.0
ŁÓDZKIE,2017,3,-535.0
ŁÓDZKIE,2017,4,-524.0
ŁÓDZKIE,2018,1,-472.0
ŁÓDZKIE,2018,2,-463.0
ŁÓDZKIE,2018,3,-584.0
ŁÓDZKIE,2018,4,-642.0
ŁÓDZKIE,2019,1,-677.0
ŁÓDZKIE,2019,2,-679.0
ŁÓDZKIE,2019,3,-780.0
ŁÓDZKIE,2019,4,-686.0
ŁÓDZKIE,2020,1,-498.0
ŁÓDZKIE,2020,2,-401.0
ŁÓDZKIE,2020,3,-441.0
ŁÓDZKIE,2020,4,-469.0
ŁÓDZKIE,2021,1,-521.0
ŁÓDZKIE,2021,2,-541.0
ŁÓDZKIE,2021,3,-640.0
ŁÓDZKIE,2021,4,-579.0
ŁÓDZKIE,2022,1,-438.0
ŁÓDZKIE,2022,2,-366.0
ŁÓDZKIE,2022,3,-411.0
ŁÓDZKIE,2022,4,-432.0
ŁÓDZKIE,2023,1,-465.0
ŁÓDZKIE,2023,2,-484.0
ŁÓDZKIE,2023,3,-587.0
ŁÓDZKIE,2023,4,-561.0
ŁÓDZKIE,2024,1,-473.0
ŁÓDZKIE,2024,2,-420.0
ŁÓDZKIE,2024,3,-468.0
ŁÓDZKIE,2024,4,-447.0
MAŁOPOLSKIE,2016,1,787.0
MAŁOPOLSKIE,2016,2,797.0
MAŁOPOLSKIE,2016,3,1031.0
MAŁOPOLSKIE,2016,4,759.0
MAŁOPOLSKIE,2017,1,837.0
MAŁOPOLSKIE,2017,2,872.0
MAŁOPOLSKIE,2017,3,1163.0
MAŁOPOLSKIE,2017,4,886.0
MAŁOPOLSKIE,2018,1,1012.0
MAŁOPOLSKIE,2018,2,1096.0
MAŁOPOLSKIE,2018,3,1522.0
MAŁOPOLSKIE,2018,4,1210.0
MAŁOPOLSKIE,2019,1,1440.0
MAŁOPOLSKIE,2019,2,1490.0
MAŁOPOLSKIE,2019,3,1830.0
MAŁOPOLSKIE,2019,4,1153.0
MAŁOPOLSKIE,2020,1,971.0
MAŁOPOLSKIE,2020,2,802.0
MAŁOPOLSKIE,2020,3,925.0
MAŁOPOLSKIE,2020,4,711.0
MAŁOPOLSKIE,2021,1,902.0
MAŁOPOLSKIE,2021,2,992.0
MAŁOPOLSKIE,2021,3,1307.0
MAŁOPOLSKIE,2021,4,910.0
MAŁOPOLSKIE,2022,1,896.0
MAŁOPOLSKIE,2022,2,846.0
MAŁOPOLSKIE,2022,3,1046.0
MAŁOPOLSKIE,2022,4,764.0
MAŁOPOLSKIE,2023,1,859.0
MAŁOPOLSKIE,2023,2,896.0
MAŁOPOLSKIE,2023,3,1177.0
MAŁOPOLSKIE,2023,4,866.0
MAŁOPOLSKIE,2024,1,946.0
MAŁOPOLSKIE,2024,2,962.0
MAŁOPOLSKIE,2024,3,1237.0
MAŁOPOLSKIE,2024,4,896.0
MAZOWIECKIE,2016,1,2797.0
MAZOWIECKIE,2016,2,2594.0
MAZOWIECKIE,2016,3,3167.0
MAZOWIECKIE,2016,4,2606.0
MAZOWIECKIE,2017,1,2887.0
MAZOWIECKIE,2017,2,2738.0
MAZOWIECKIE,2017,3,3449.0
MAZOWIECKIE,2017,4,2954.0
MAZOWIECKIE,2018,1,3425.0
MAZOWIECKIE,2018,2,3343.0
MAZOWIECKIE,2018,3,4268.0
MAZOWIECKIE,2018,4,3648.0
MAZOWIECKIE,2019,1,4175.0
MAZOWIECKIE,2019,2,3853.0
MAZOWIECKIE,2019,3,4469.0
MAZOWIECKIE,2019,4,3277.0
MAZOWIECKIE,2020,1,3011.0
MAZOWIECKIE,2020,2,2436.0
MAZOWIECKIE,2020,3,2740.0
MAZOWIECKIE,2020,4,2259.0
MAZOWIECKIE,2021,1,2680.0
MAZOWIECKIE,2021,2,2574.0
MAZOWIECKIE,2021,3,3130.0
MAZOWIECKIE,2021,4,2448.0
MAZOWIECKIE,2022,1,2469.0
MAZOWIECKIE,2022,2,2168.0
MAZOWIECKIE,2022,3,2580.0
MAZOWIECKIE,2022,4,2149.0
MAZOWIECKIE,2023,1,2480.0
MAZOWIECKIE,2023,2,2377.0
MAZOWIECKIE,2023,3,2946.0
MAZOWIECKIE,2023,4,2412.0
MAZOWIECKIE,2024,1,2617.0
MAZOWIECKIE,2024,2,2404.0
MAZOWIECKIE,2024,3,2904.0
MAZOWIECKIE,2024,4,2362.0
OPOLSKIE,2016,1,-178.0
OPOLSKIE,2016,2,-173.0
OPOLSKIE,2016,3,-196.0
OPOLSKIE,2016,4,-176.0
OPOLSKIE,2017,1,-191.0
OPOLSKIE,2017,2,-185.0
OPOLSKIE,2017,3,-200.0
OPOLSKIE,2017,4,-167.0
OPOLSKIE,2018,1,-161.0
OPOLSKIE,2018,2,-154.0
OPOLSKIE,2018,3,-185.0
OPOLSKIE,2018,4,-189.0
OPOLSKIE,2019,1,-239.0
OPOLSKIE,2019,2,-251.0
OPOLSKIE,2019,3,-282.0
OPOLSKIE,2019,4,-233.0
OPOLSKIE,2020,1,-210.0
OPOLSKIE,2020,2,-180.0
OPOLSKIE,2020,3,-188.0
OPOLSKIE,2020,4,-167.0
OPOLSKIE,2021,1,-188.0
OPOLSKIE,2021,2,-187.0
OPOLSKIE,2021,3,-209.0
OPOLSKIE,2021,4,-178.0
