Województwo,Przestępstwo,Kwartał,Rok,Liczba
POLSKA,ogółem,1 kwartał,2016,181162.0
DOLNOŚLĄSKIE,ogółem,1 kwartał,2016,17437.0
KUJAWSKO-POMORSKIE,ogółem,1 kwartał,2016,8804.0
LUBELSKIE,ogółem,1 kwartał,2016,6655.0
LUBUSKIE,ogółem,1 kwartał,2016,6037.0
ŁÓDZKIE,ogółem,1 kwartał,2016,10733.0
MAŁOPOLSKIE,ogółem,1 kwartał,2016,18748.0
MAZOWIECKIE,ogółem,1 kwartał,2016,24765.0
OPOLSKIE,ogółem,1 kwartał,2016,4157.0
PODKARPACKIE,ogółem,1 kwartał,2016,4826.0
PODLASKIE,ogółem,1 kwartał,2016,4114.0
POMORSKIE,ogółem,1 kwartał,2016,11310.0
ŚLĄSKIE,ogółem,1 kwartał,2016,29232.0
ŚWIĘTOKRZYSKIE,ogółem,1 kwartał,2016,4570.0
WARMIŃSKO-MAZURSKIE,ogółem,1 kwartał,2016,5602.0
WIELKOPOLSKIE,ogółem,1 kwartał,2016,14193.0
ZACHODNIOPOMORSKIE,ogółem,1 kwartał,2016,9979.0
POLSKA,ogółem,1 kwartał,2017,206988.0
DOLNOŚLĄSKIE,ogółem,1 kwartał,2017,18351.0
KUJAWSKO-POMORSKIE,ogółem,1 kwartał,2017,9028.0
LUBELSKIE,ogółem,1 kwartał,2017,7401.0
LUBUSKIE,ogółem,1 kwartał,2017,6883.0
ŁÓDZKIE,ogółem,1 kwartał,2017,10225.0
MAŁOPOLSKIE,ogółem,1 kwartał,2017,29701.0
MAZOWIECKIE,ogółem,1 kwartał,2017,25847.0
OPOLSKIE,ogółem,1 kwartał,2017,4541.0
PODKARPACKIE,ogółem,1 kwartał,2017,5948.0
PODLASKIE,ogółem,1 kwartał,2017,3536.0
POMORSKIE,ogółem,1 kwartał,2017,11653.0
ŚLĄSKIE,ogółem,1 kwartał,2017,37174.0
ŚWIĘTOKRZYSKIE,ogółem,1 kwartał,2017,7571.0
WARMIŃSKO-MAZURSKIE,ogółem,1 kwartał,2017,5619.0
WIELKOPOLSKIE,ogółem,1 kwartał,2017,14240.0
ZACHODNIOPOMORSKIE,ogółem,1 kwartał,2017,9270.0
POLSKA,ogółem,1 kwartał,2018,204889.0
DOLNOŚLĄSKIE,ogółem,1 kwartał,2018,16779.0
KUJAWSKO-POMORSKIE,ogółem,1 kwartał,2018,15985.0
LUBELSKIE,ogółem,1 kwartał,2018,8660.0
LUBUSKIE,ogółem,1 kwartał,2018,6503.0
ŁÓDZKIE,ogółem,1 kwartał,2018,11639.0
MAŁOPOLSKIE,ogółem,1 kwartał,2018,23904.0
MAZOWIECKIE,ogółem,1 kwartał,2018,28315.0
OPOLSKIE,ogółem,1 kwartał,2018,4042.0
PODKARPACKIE,ogółem,1 kwartał,2018,6505.0
PODLASKIE,ogółem,1 kwartał,2018,3820.0
POMORSKIE,ogółem,1 kwartał,2018,10590.0
ŚLĄSKIE,ogółem,1 kwartał,2018,31434.0
ŚWIĘTOKRZYSKIE,ogółem,1 kwartał,2018,4512.0
WARMIŃSKO-MAZURSKIE,ogółem,1 kwartał,2018,5663.0
WIELKOPOLSKIE,ogółem,1 kwartał,2018,14407.0
ZACHODNIOPOMORSKIE,ogółem,1 kwartał,2018,12131.0
POLSKA,ogółem,1 kwartał,2019,204517.0
DOLNOŚLĄSKIE,ogółem,1 kwartał,2019,16850.0
KUJAWSKO-POMORSKIE,ogółem,1 kwartał,2019,8612.0
LUBELSKIE,ogółem,1 kwartał,2019,8207.0
LUBUSKIE,ogółem,1 kwartał,2019,6432.0
ŁÓDZKIE,ogółem,1 kwartał,2019,11224.0
MAŁOPOLSKIE,ogółem,1 kwartał,2019,27628.0
MAZOWIECKIE,ogółem,1 kwartał,2019,30288.0
OPOLSKIE,ogółem,1 kwartał,2019,3359.0
PODKARPACKIE,ogółem,1 kwartał,2019,5329.0
PODLASKIE,ogółem,1 kwartał,2019,3402.0
POMORSKIE,ogółem,1 kwartał,2019,10847.0
ŚLĄSKIE,ogółem,1 kwartał,2019,32296.0
ŚWIĘTOKRZYSKIE,ogółem,1 kwartał,2019,5849.0
WARMIŃSKO-MAZURSKIE,ogółem,1 kwartał,2019,5824.0
WIELKOPOLSKIE,ogółem,1 kwartał,2019,15547.0
ZACHODNIOPOMORSKIE,ogółem,1 kwartał,2019,12823.0
POLSKA,ogółem,1 kwartał,2020,215963.0
DOLNOŚLĄSKIE,ogółem,1 kwartał,2020,15867.0
